SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
RELIANCE,Reliance Industries Limited,EQ,29-Nov-1995,10,1,INE002A01018,10
INFY,Infosys Limited,EQ,08-Feb-1995,5,1,INE009A01021,5
TCS,Tata Consultancy Services Limited,EQ,25-Aug-2004,1,1,INE467B01029,1
HDFCBANK,HDFC Bank Limited,EQ,19-Jan-1995,1,1,INE040A01034,1
ICICIBANK,ICICI Bank Limited,EQ,17-Sep-1997,2,1,INE090A01021,2
SBIN,State Bank of India,EQ,01-Mar-1995,1,1,INE062A01020,1
ITC,ITC Limited,EQ,01-Jan-1995,1,1,INE154A01025,1
HINDUNILVR,Hindustan Unilever Limited,EQ,05-Mar-1995,1,1,INE030A01027,1
LT,Larsen & Toubro Limited,EQ,07-Jan-1995,2,1,INE018A01030,2
AXISBANK,Axis Bank Limited,EQ,16-Nov-1998,2,1,INE238A01034,2
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-Dec-1995,5,1,INE237A01028,5
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-2003,2,1,INE296A01024,2
ASIANPAINT,Asian Paints Limited,EQ,07-Mar-1995,1,1,INE021A01026,1
MARUTI,Maruti Suzuki India Limited,EQ,09-Jul-2003,5,1,INE585B01010,5
TATASTEEL,Tata Steel Limited,EQ,18-Nov-1998,1,1,INE081A01020,1
HCLTECH,HCL Technologies Limited,EQ,06-Jan-2000,2,1,INE860A01027,2
WIPRO,Wipro Limited,EQ,08-Nov-1995,2,1,INE075A01022,2
ADANIENT,Adani Enterprises Limited,EQ,25-May-1994,1,1,INE423A01024,1
NTPC,NTPC Limited,EQ,05-Nov-2004,10,1,INE733E01010,10
ONGC,Oil and Natural Gas Corporation Limited,EQ,19-Aug-1994,5,1,INE213A01029,5
JSWSTEEL,JSW Steel Limited,EQ,22-Mar-2005,1,1,INE019A01038,1
POWERGRID,Power Grid Corporation of India Limited,EQ,05-Oct-2007,10,1,INE752E01010,10
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,07-Feb-1994,1,1,INE044A01036,1
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-2002,5,1,INE397D01024,5
TITAN,Titan Company Limited,EQ,28-Oct-1997,1,1,INE280A01028,1
